score,episodes,duration,popularity,favorites,scored_by,Cluster,genres,type,rating
6.95,1.0,1.0,9760.0,6.000000000000007,1312.0,1,Action,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
6.95,1.0,5.0,14778.0,2.0,429.0,1,unknown,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
6.95,22.0,24.0,4101.0,81.0,10827.0,2,Action,R - 17+ (violence & profanity),R - 17+ (violence & profanity)
6.95,12.0,24.0,967.0,229.5,37650.25,0,Comedy,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
6.95,1.0,5.0,3839.0,14.0,20090.0,2,Comedy,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
6.95,1.0,2.0,8912.0,7.0,1895.0,1,Action,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
6.95,13.0,24.0,7166.0,11.0,4293.0,1,Comedy,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
6.95,28.5,25.0,9973.0,8.0,854.0,1,Drama,G - All Ages,G - All Ages
6.95,28.5,10.0,9594.0,11.0,955.0,1,Comedy,PG - Children,PG - Children
6.95,1.0,30.0,6796.0,13.0,3394.0,1,Slice of Life,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
6.95,28.5,23.0,9245.0,11.0,1124.0,1,Action,G - All Ages,G - All Ages
6.95,25.0,24.0,6133.0,48.0,3702.0,1,Action,R - 17+ (violence & profanity),R - 17+ (violence & profanity)
6.95,28.5,23.0,8700.0,33.0,1045.0,1,Comedy,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
6.95,13.0,25.0,4124.0,122.0,8901.0,2,Adventure,R+ - Mild Nudity,R+ - Mild Nudity
6.95,28.5,24.0,8524.0,22.0,1939.0,1,Action,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
6.95,1.0,50.0,4836.0,6.000000000000007,11549.0,2,Adventure,PG - Children,PG - Children
6.95,28.5,26.0,12580.0,7.0,715.0,1,Comedy,G - All Ages,G - All Ages
6.95,24.0,17.0,12261.0,13.0,527.0,1,Action,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
6.95,3.0,1.0,8789.0,30.999999999999996,394.0,1,Action,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
6.95,1.0,27.0,10365.0,2.0,1598.0,1,Comedy,PG - Children,PG - Children
6.95,1.0,10.0,9360.0,5.0,1505.0,1,Action,R - 17+ (violence & profanity),R - 17+ (violence & profanity)
6.95,1.0,1.0,8623.0,2.999999999999993,1810.0,1,Action,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
6.95,1.0,6.0,12764.0,2.0,745.0,1,unknown,G - All Ages,G - All Ages
6.95,28.5,24.0,1922.0,229.5,37650.25,0,Action,PG - Children,PG - Children
6.95,28.5,25.0,10118.0,22.0,1308.0,1,Action,G - All Ages,G - All Ages
6.95,1.0,24.0,2148.0,175.0,37650.25,0,Action,R+ - Mild Nudity,R+ - Mild Nudity
6.95,12.0,23.0,1438.0,229.5,37650.25,0,Adventure,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
6.94,1.0,4.0,19270.0,2.999999999999993,156.0,1,unknown,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
6.94,1.0,3.0,10305.0,15.0,1659.0,1,unknown,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
6.94,1.0,1.0,8731.0,17.0,991.0,1,Fantasy,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
