score,genres,type,episodes,duration,rating,popularity,favorites,scored_by
7.31,unknown,R - 17+ (violence & profanity),1.0,20.0,R - 17+ (violence & profanity),4892,27.0,4191.0
7.31,Action,PG-13 - Teens 13 or older,12.0,21.0,PG-13 - Teens 13 or older,3611,90.0,19180.0
7.31,Comedy,PG-13 - Teens 13 or older,1.0,27.0,PG-13 - Teens 13 or older,5978,14.0,5849.0
7.31,Drama,PG-13 - Teens 13 or older,26.0,25.0,PG-13 - Teens 13 or older,4704,69.0,5571.0
7.31,Action,PG-13 - Teens 13 or older,16.0,18.0,PG-13 - Teens 13 or older,12168,15.0,456.0
7.31,Comedy,PG-13 - Teens 13 or older,8.0,7.0,PG-13 - Teens 13 or older,7270,27.0,2897.0
7.31,Action,PG - Children,1.0,1.0,PG - Children,1936,143.0,37650.25
7.31,Slice of Life,PG-13 - Teens 13 or older,12.0,24.0,PG-13 - Teens 13 or older,3826,133.0,16739.0
7.31,Fantasy,PG-13 - Teens 13 or older,12.0,23.0,PG-13 - Teens 13 or older,1161,229.5,37650.25
7.31,Comedy,G - All Ages,1.0,13.0,G - All Ages,7575,7.0,3216.0
7.31,Sports,PG-13 - Teens 13 or older,1.0,30.0,PG-13 - Teens 13 or older,4929,28.0,11270.0
7.31,Drama,R - 17+ (violence & profanity),28.5,24.0,R - 17+ (violence & profanity),7718,24.0,3385.0
7.31,Drama,PG-13 - Teens 13 or older,12.0,25.0,PG-13 - Teens 13 or older,1807,229.5,37650.25
7.31,Fantasy,G - All Ages,1.0,5.0,G - All Ages,5456,32.0,7603.0
7.31,unknown,G - All Ages,1.0,1.0,G - All Ages,8755,6.0,2292.0
7.31,Action,R+ - Mild Nudity,1.0,1.0,R+ - Mild Nudity,6135,9.0,6102.0
7.31,Drama,PG-13 - Teens 13 or older,6.0,30.0,PG-13 - Teens 13 or older,9958,10.0,1572.0
7.31,Action,PG-13 - Teens 13 or older,12.0,24.0,PG-13 - Teens 13 or older,527,229.5,37650.25
7.31,Romance,PG-13 - Teens 13 or older,1.0,23.0,PG-13 - Teens 13 or older,1213,229.5,37650.25
7.31,Action,R - 17+ (violence & profanity),1.0,1.0,R - 17+ (violence & profanity),3158,172.0,32231.0
7.31,Slice of Life,G - All Ages,1.0,6.0,G - All Ages,2696,91.0,37650.25
7.31,Adventure,PG-13 - Teens 13 or older,1.0,54.0,PG-13 - Teens 13 or older,5002,18.0,10376.0
7.31,Slice of Life,PG-13 - Teens 13 or older,6.0,8.0,PG-13 - Teens 13 or older,5258,229.5,7325.0
7.31,Action,R+ - Mild Nudity,2.0,27.0,R+ - Mild Nudity,3028,87.0,33399.0
7.31,Adventure,G - All Ages,8.0,8.0,G - All Ages,7474,19.0,3612.0
7.31,Action,R - 17+ (violence & profanity),1.0,23.0,R - 17+ (violence & profanity),5077,85.0,8131.0
7.31,unknown,G - All Ages,1.0,1.0,G - All Ages,8110,9.0,3087.0
7.31,Fantasy,PG-13 - Teens 13 or older,12.0,23.0,PG-13 - Teens 13 or older,3989,174.0,11915.0
7.31,Adventure,PG - Children,1.0,1.0,PG - Children,7118,4.0,5554.0
7.31,Action,PG-13 - Teens 13 or older,2.0,30.0,PG-13 - Teens 13 or older,7793,78.0,947.0
7.31,Action,PG-13 - Teens 13 or older,1.0,2.0,PG-13 - Teens 13 or older,2418,164.0,37650.25
7.31,Fantasy,G - All Ages,1.0,1.0,G - All Ages,2678,229.5,36999.0
7.31,Adventure,PG - Children,1.0,1.0,PG - Children,7422,2.0,4891.0
7.31,Comedy,PG-13 - Teens 13 or older,24.0,24.0,PG-13 - Teens 13 or older,1529,229.5,37650.25
7.31,Gourmet,PG-13 - Teens 13 or older,13.0,23.0,PG-13 - Teens 13 or older,425,229.5,37650.25
7.31,Sports,R - 17+ (violence & profanity),26.0,24.0,R - 17+ (violence & profanity),534,229.5,37650.25
7.31,Adventure,PG-13 - Teens 13 or older,1.0,1.0,PG-13 - Teens 13 or older,6670,19.0,4537.0
